"","WNAIfact.tribes","WNAIfact.v163"
"1",1,"Dugout canoe"
"2",2,"Dugout canoe"
"3",3,"Dugout canoe"
"4",4,"Dugout canoe"
"5",5,"Dugout canoe"
"6",6,"Dugout canoe"
"7",7,"Dugout canoe"
"8",8,"Dugout canoe"
"9",9,"Dugout canoe"
"10",10,"Dugout canoe"
"11",11,"Dugout canoe"
"12",12,"Dugout canoe"
"13",13,"Dugout canoe"
"14",14,"Dugout canoe"
"15",15,"Dugout canoe"
"16",16,"Dugout canoe"
"17",17,"Dugout canoe"
"18",18,"Dugout canoe"
"19",19,"Dugout canoe"
"20",20,"Dugout canoe"
"21",21,"Dugout canoe"
"22",22,"Dugout canoe"
"23",23,"Dugout canoe"
"24",24,"Dugout canoe"
"25",25,"Dugout canoe"
"26",26,"Dugout canoe"
"27",27,"Dugout canoe"
"28",28,"Dugout canoe"
"29",29,"Dugout canoe"
"30",30,"Dugout canoe"
"31",31,"Dugout canoe"
"32",32,"Dugout canoe"
"33",33,"Dugout canoe"
"34",34,"Dugout canoe"
"35",35,"Dugout canoe"
"36",36,"Dugout canoe"
"37",37,"Dugout canoe"
"38",38,"Dugout canoe"
"39",39,"Dugout canoe"
"40",40,"Dugout canoe"
"41",41,"Dugout canoe"
"42",42,"Dugout canoe"
"43",43,"Balsa"
"44",44,"Dugout canoe"
"45",45,"Dugout canoe"
"46",46,"Dugout canoe"
"47",47,"Log or pole raft"
"48",48,"Both log or pole raft and dugout canoe"
"49",49,"Both log or pole raft and dugout canoe"
"50",50,"Balsa"
"51",51,"Dugout canoe"
"52",52,"Dugout canoe"
"53",53,"Dugout canoe"
"54",54,"Balsa"
"55",55,"Dugout canoe"
"56",56,"Dugout canoe"
"57",57,"Balsa"
"58",58,"Balsa"
"59",59,"Balsa"
"60",60,"Balsa"
"61",61,"Balsa"
"62",62,"Dugout canoe"
"63",63,"Balsa"
"64",64,"Balsa"
"65",65,"Balsa"
"66",66,"Balsa"
"67",67,"Balsa"
"68",68,"Balsa"
"69",69,"Balsa"
"70",70,"Balsa"
"71",71,"Balsa"
"72",72,"Balsa"
"73",73,"Balsa"
"74",74,"Balsa"
"75",75,"Balsa"
"76",76,"Balsa"
"77",77,"Balsa"
"78",78,NA
"79",79,"No boats or rafts of any kind"
"80",80,"Balsa"
"81",81,"Plank canoe"
"82",82,"Balsa"
"83",83,"Balsa"
"84",84,"No boats or rafts of any kind"
"85",85,"Balsa"
"86",86,"Balsa"
"87",87,"Balsa"
"88",88,"Balsa"
"89",89,"Balsa"
"90",90,"Balsa"
"91",91,"Balsa"
"92",92,"Balsa"
"93",93,"Bark canoe"
"94",94,"Bark canoe"
"95",95,"Bark canoe"
"96",96,"Bark canoe"
"97",97,"Dugout canoe"
"98",98,"Dugout canoe"
"99",99,"Dugout canoe"
"100",100,"Dugout canoe"
"101",101,"Dugout canoe"
"102",102,"Dugout canoe"
"103",103,"Bark canoe"
"104",104,"Bark canoe"
"105",105,"Bark canoe"
"106",106,"Bark canoe"
"107",107,"Dugout canoe"
"108",108,"Dugout canoe"
"109",109,"Dugout canoe"
"110",110,"Dugout canoe"
"111",111,"Dugout canoe"
"112",112,"Dugout canoe"
"113",113,"Dugout canoe"
"114",114,"Balsa"
"115",115,"Balsa"
"116",116,"Balsa"
"117",117,"Balsa"
"118",118,"No boats or rafts of any kind"
"119",119,"Balsa"
"120",120,"No boats or rafts of any kind"
"121",121,"No boats or rafts of any kind"
"122",122,"Balsa"
"123",123,"Balsa"
"124",124,"No boats or rafts of any kind"
"125",125,"Balsa"
"126",126,"Balsa"
"127",127,"Balsa"
"128",128,"Round hide boat"
"129",129,"No boats or rafts of any kind"
"130",130,"Round hide boat"
"131",131,"Log or pole raft"
"132",132,"Log or pole raft"
"133",133,"Log or pole raft"
"134",134,"Log or pole raft"
"135",135,"Balsa"
"136",136,"Log or pole raft"
"137",137,"Log or pole raft"
"138",138,"No boats or rafts of any kind"
"139",139,"No boats or rafts of any kind"
"140",140,"Log or pole raft"
"141",141,"Balsa"
"142",142,"Balsa"
"143",143,"Balsa"
"144",144,"Balsa"
"145",145,"Log or pole raft"
"146",146,"No boats or rafts of any kind"
"147",147,"No boats or rafts of any kind"
"148",148,"Log or pole raft"
"149",149,"Log or pole raft"
"150",150,"Log or pole raft"
"151",151,"Log or pole raft"
"152",152,"Log or pole raft"
"153",153,"Log or pole raft"
"154",154,"Log or pole raft"
"155",155,"Round hide boat"
"156",156,"Log or pole raft"
"157",157,"No boats or rafts of any kind"
"158",158,"No boats or rafts of any kind"
"159",159,"No boats or rafts of any kind"
"160",160,"No boats or rafts of any kind"
"161",161,"No boats or rafts of any kind"
"162",162,"Log or pole raft"
"163",163,"No boats or rafts of any kind"
"164",164,"Log or pole raft"
"165",165,"Log or pole raft"
"166",166,"Log or pole raft"
"167",167,"Log or pole raft"
"168",168,"Log or pole raft"
"169",169,"No boats or rafts of any kind"
"170",170,"No boats or rafts of any kind"
"171",171,"Log or pole raft"
"172",172,"No boats or rafts of any kind"
